                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.2754,                 1.6013,                 1.3195,                0.54932,                0.48506,                0.55071,                0.37886,                   1.39,                 1.9737,                 1.5761,               0.007723,               0.007723,               0.007723
                     71,                 1.2996,                 1.6258,                 1.3149,                0.63358,                 0.4736,                 0.5671,                0.38445,                 1.4486,                 1.9575,                 1.6198,                0.00769,                0.00769,                0.00769
                     72,                 1.3145,                 1.6144,                  1.327,                0.61706,                0.51733,                0.56937,                  0.374,                 1.4731,                 1.8841,                 1.6273,               0.007657,               0.007657,               0.007657
                     73,                 1.3072,                 1.5528,                 1.2976,                0.60186,                0.51399,                0.55578,                0.38249,                 1.4168,                 1.8891,                 1.5684,               0.007624,               0.007624,               0.007624
                     74,                 1.2497,                 1.5213,                 1.3012,                0.47491,                0.56271,                0.56855,                0.39137,                 1.4179,                  1.902,                 1.5844,               0.007591,               0.007591,               0.007591
                     75,                 1.2931,                 1.5764,                 1.3142,                0.63864,                  0.489,                0.58752,                0.40664,                 1.3877,                 1.8859,                 1.5687,               0.007558,               0.007558,               0.007558
                     76,                  1.269,                 1.4925,                 1.3206,                0.52311,                0.58475,                0.58974,                0.40724,                 1.3743,                 1.8542,                 1.5444,               0.007525,               0.007525,               0.007525
                     77,                 1.2561,                 1.5417,                 1.3123,                 0.4965,                0.60286,                0.58416,                0.39493,                 1.3863,                 1.8919,                 1.5661,               0.007492,               0.007492,               0.007492
                     78,                 1.2697,                  1.496,                 1.2735,                 0.5895,                0.52981,                0.59055,                0.40262,                 1.3533,                 1.8283,                  1.554,               0.007459,               0.007459,               0.007459
                     79,                 1.2604,                 1.4935,                 1.3073,                0.51725,                0.61873,                0.61266,                0.42061,                 1.3612,                 1.8709,                 1.5672,               0.007426,               0.007426,               0.007426
