                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.3662,                 0.7457,                 1.2718,                0.79342,                0.70683,                 0.7688,                0.39939,                 1.4859,                0.79785,                 1.3384,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3542,                0.75792,                 1.2745,                0.82599,                 0.6958,                0.78963,                0.42996,                 1.3615,                0.77724,                  1.301,               0.005743,               0.005743,               0.005743
                     88,                 1.2998,                0.72947,                 1.2673,                0.84482,                0.67068,                0.77064,                0.41611,                 1.4273,                0.79539,                 1.3158,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.3184,                0.73274,                 1.2636,                0.85789,                0.72732,                0.81512,                0.44778,                 1.3757,                0.75047,                 1.3022,               0.005644,               0.005644,               0.005644
                     90,                  1.331,                0.75152,                  1.245,                  0.836,                0.71687,                0.78771,                0.42614,                 1.3742,                0.76826,                 1.2964,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3129,                0.73739,                  1.275,                0.83134,                0.73241,                0.79076,                 0.4179,                 1.4218,                0.76379,                 1.3155,               0.005545,               0.005545,               0.005545
                     92,                  1.336,                 0.7436,                 1.2756,                  0.814,                0.64659,                0.72239,                0.39222,                 1.4418,                0.76944,                 1.3257,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3679,                0.74201,                 1.2613,                0.87255,                0.71084,                0.81482,                0.45206,                 1.3572,                0.75564,                 1.2912,               0.005446,               0.005446,               0.005446
                     94,                 1.2914,                0.72119,                 1.2455,                 0.8671,                0.67671,                0.79848,                0.41979,                 1.4766,                0.75532,                 1.3246,              0.0053965,              0.0053965,              0.0053965
                     95,                  1.278,                0.70094,                 1.2331,                0.80359,                0.67368,                0.77542,                 0.4323,                 1.3965,                0.77092,                 1.2755,               0.005347,               0.005347,               0.005347
                     96,                  1.289,                0.71666,                 1.2428,                0.83693,                0.61245,                0.73638,                0.40291,                  1.396,                0.76203,                 1.2814,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3175,                 0.7184,                 1.2415,                0.84835,                0.73017,                0.81082,                0.43008,                 1.3845,                0.73567,                 1.2727,               0.005248,               0.005248,               0.005248
                     98,                 1.3248,                0.71957,                 1.2521,                0.83473,                0.66936,                 0.7574,                0.38147,                 1.5553,                0.79366,                 1.3472,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3335,                0.74569,                 1.2466,                0.85737,                0.71219,                0.81111,                0.44558,                 1.3112,                0.73721,                 1.2523,               0.005149,               0.005149,               0.005149
                    100,                 1.2603,                0.69934,                 1.2697,                0.84411,                0.72892,                0.80911,                0.45269,                 1.3026,                0.71314,                 1.2541,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2754,                0.71967,                 1.2508,                0.87877,                0.74231,                0.82952,                0.46448,                 1.3082,                0.70187,                 1.2462,                0.00505,                0.00505,                0.00505
                    102,                 1.2127,                0.66809,                 1.2114,                0.85399,                0.73494,                 0.8076,                0.45461,                 1.3416,                0.70071,                 1.2576,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.292,                0.71418,                 1.2491,                0.87913,                0.75703,                0.83644,                0.46869,                 1.2829,                0.67371,                 1.2252,               0.004951,               0.004951,               0.004951
